Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GUI,Safari 11,,2018-01-22 10:00:35,2018-01-22 10:00:56,20.573s,PASSED
,,,,,,
Test Cases/TC_03,Safari 11,,2018-01-22 10:00:35,2018-01-22 10:00:56,20.206s,PASSED
"Statement - println(""This is sample test to run in docker"")",Safari 11,,2018-01-22 10:00:36,2018-01-22 10:00:36,0.006s,PASSED
openBrowser,Safari 11,,2018-01-22 10:00:36,2018-01-22 10:00:51,14.867s,PASSED
navigateToUrl,Safari 11,,2018-01-22 10:00:51,2018-01-22 10:00:55,4.484s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Safari 11,,2018-01-22 10:00:55,2018-01-22 10:00:55,0.154s,PASSED
"Statement - println(""Page title is "" + title)",Safari 11,,2018-01-22 10:00:55,2018-01-22 10:00:55,0.001s,PASSED
closeBrowser,Safari 11,,2018-01-22 10:00:55,2018-01-22 10:00:56,0.175s,PASSED
